ToyCar
id,AUC,pAUC
01,0.8617640692640692,0.7178742310321258
02,0.8923342318059299,0.8009930486593843
03,0.6777358490566038,0.573613278479217
04,0.9259083557951484,0.7839126117179742
Average,0.8394356264804379,0.7190982924721754

