Current (uA),rx timestamp (us),board timestamps (ms)
903.9,128022,0
909.8,129120,0
907.0,130122,0
907.4,131082,0
908.5,132121,0
907.4,133083,0
907.5,134120,0
907.7,135081,0
906.2,136118,0
909.1,137097,0
908.0,138612,0
909.6,138612,0
907.0,140600,0
908.4,140600,0
908.2,142461,0
905.4,142461,0
909.7,144315,0
909.2,144315,0
909.7,146333,0
905.2,147341,0
911.4,148905,0
909.8,148905,0
910.0,150008,0
908.7,150008,0
909.9,152030,0
909.2,152030,0
907.7,153997,0
908.9,153997,0
909.7,156003,0
909.9,156003,0
909.9,157439,0
909.0,158495,0
909.0,159530,0
909.9,160495,0
909.9,162011,0
908.9,162011,0
909.2,164323,0
907.6,164323,0
909.7,166327,0
906.9,166327,0
909.2,168768,0
909.9,168768,0
908.7,169866,0
909.9,169866,0
907.0,171872,0
909.2,171872,0
909.0,173856,0
907.7,173856,0
907.7,175873,0
908.6,175873,0
907.4,178359,0
907.7,178359,0
906.2,180360,0
910.0,180360,0
908.0,182358,0
906.3,182358,0
907.5,184035,0
909.9,184035,0
906.0,186049,0
906.9,186049,0
909.4,188562,0
908.9,188562,0
909.4,190022,0
908.9,190694,0
911.3,191837,0
904.9,191837,0
909.9,192948,0
909.2,192948,0
909.1,195495,0
908.9,195495,0
912.0,197512,0
909.1,197512,0
909.4,199908,0
909.7,199908,0
908.7,201905,0
907.6,201905,0
907.4,203907,0
905.1,203907,0
909.2,205907,0
907.4,205907,0
905.4,207195,0
909.8,207195,0
908.3,209358,0
909.4,209358,0
909.1,211355,0
905.7,211355,0
908.8,213355,0
909.7,213355,0
908.5,215358,0
908.4,215358,0
902.5,217717,0
907.1,217717,0
909.9,219722,0
909.2,219722,0
905.5,221899,0
905.5,221899,0
909.5,223913,0
903.2,225563,0
904.9,225563,0
909.1,227625,0
907.4,227625,0
905.4,230018,0
908.9,230018,0
907.5,231987,0
909.9,231987,0
905.0,233008,0
909.4,234000,0
909.1,235999,0
908.9,235999,0
904.6,237494,0
904.8,237494,0
909.8,239587,0
904.6,240547,0
904.8,241582,0
909.1,241582,0
905.4,243780,0
903.2,243780,0
906.7,245738,0
906.9,245738,0
909.9,248221,0
909.9,248221,0
910.0,249222,0
909.8,249222,0
909.2,251347,0
909.7,251347,0
904.8,253312,0
908.5,253312,0
909.0,256130,0
910.2,256130,0
907.6,257186,0
909.1,257186,0
907.7,258602,0
906.7,259608,0
907.7,260696,0
904.7,261648,0
906.7,263382,0
909.9,263382,0
908.6,265431,0
906.9,265431,0
907.7,267883,0
909.5,268074,0
909.8,269413,0
908.5,269413,0
906.0,271440,0
907.7,271440,0
906.9,272435,0
909.2,273438,0
909.9,274435,0
907.5,275433,0
909.8,276441,0
905.5,277436,0
909.3,278727,0
908.9,278727,0
909.9,280726,0
909.1,280726,0
910.7,282728,0
910.2,282728,0
906.9,284732,0
910.4,284732,0
903.5,286546,0
909.9,286546,0
909.4,289082,0
911.4,289082,0
909.7,291084,0
906.7,291084,0
909.9,293226,0
908.9,293226,0
910.3,295216,0
909.4,295216,0
905.4,297580,0
906.8,297580,0
906.7,299242,0
906.6,299242,0
907.6,301310,0
909.4,301310,0
909.9,302943,0
910.0,302943,0
910.6,304926,0
909.5,304926,0
907.7,307149,0
907.0,307639,0
906.9,308523,0
909.4,308523,0
907.4,310647,0
909.6,310647,0
908.1,312641,0
910.7,312641,0
906.5,314642,0
904.2,314642,0
909.7,316642,0
907.3,317636,0
904.9,319061,0
908.9,319061,0
904.5,321029,0
905.2,321029,0
905.3,323031,0
909.4,323031,0
905.4,325032,0
907.3,325032,0
908.9,327371,0
906.0,327554,0
909.6,328922,0
906.2,328922,0
903.2,330946,0
902.7,330946,0
905.2,332997,0
905.9,332997,0
906.6,335047,0
905.5,335047,0
907.4,336937,0
909.4,336937,0
909.9,339021,0
910.7,339021,0
905.5,340739,0
910.0,340739,0
909.9,343046,0
909.8,343046,0
909.2,345057,0
909.0,345057,0
909.5,347057,0
909.9,347620,0
909.9,348732,0
909.9,349696,0
909.4,350740,0
909.9,351708,0
910.0,352721,0
909.9,353681,0
904.5,354722,0
909.6,355685,0
909.9,356701,0
908.8,357684,0
906.6,359212,0
908.1,359212,0
907.2,361224,0
905.0,361224,0
904.2,362277,0
907.4,364213,0
909.1,364213,0
908.8,366712,0
903.5,367636,0
908.8,368668,0
907.5,368668,0
908.5,370759,0
904.2,370759,0
904.3,372804,0
903.8,372804,0
904.7,374671,0
908.3,374671,0
903.3,376579,0
904.0,376579,0
907.7,379444,0
905.6,379444,0
909.6,380433,0
908.9,380433,0
909.7,382561,0
907.4,382561,0
906.9,384559,0
904.5,384559,0
903.4,386560,0
904.7,386560,0
907.2,387995,0
906.9,387995,0
909.3,390097,0
909.9,391047,0
909.6,392091,0
906.0,392091,0
902.8,394829,0
903.8,394829,0
909.8,395867,0
906.6,396908,0
906.9,398336,0
907.1,398336,0
909.1,400764,0
907.7,400764,0
907.1,402976,0
907.3,402976,0
903.4,404591,0
906.2,404591,0
907.9,406611,0
907.7,406611,0
907.4,407977,0
912.2,407977,0
909.0,410056,0
904.3,410989,0
909.5,411981,0
903.7,411981,0
907.6,413989,0
908.4,413989,0
906.5,415984,0
909.7,415984,0
907.3,418343,0
908.9,418343,0
909.0,420339,0
908.5,420339,0
907.7,421338,0
905.4,422339,0
907.6,423339,0
909.9,424340,0
905.2,425446,0
905.4,426526,0
907.7,427903,0
907.2,427903,0
906.1,429880,0
908.9,429880,0
908.8,432341,0
909.7,432341,0
909.6,434318,0
909.2,434318,0
909.9,436197,0
909.9,436197,0
907.0,438392,0
910.6,438392,0
907.3,440257,0
909.9,440257,0
909.2,441660,0
906.1,442820,0
909.5,443879,0
907.7,444817,0
914.4,445852,0
909.1,445852,0
907.6,448202,0
905.7,448202,0
908.9,450275,0
907.7,450275,0
909.7,452259,0
910.2,452259,0
910.7,453887,0
907.8,453887,0
910.7,456020,0
905.4,456634,0
909.7,458045,0
909.2,458045,0
909.7,460009,0
905.0,460698,0
909.9,462106,0
909.6,462106,0
911.4,464122,0
907.0,464122,0
909.6,466149,0
909.7,466149,0
909.8,467624,0
909.2,467624,0
909.9,469722,0
910.2,469722,0
906.7,471730,0
907.6,471730,0
908.9,473731,0
908.9,473731,0
909.2,475712,0
902.8,475712,0
909.9,477962,0
905.7,477962,0
903.3,480036,0
906.2,480036,0
909.6,481687,0
909.6,481687,0
907.0,483938,0
909.5,483938,0
909.0,485813,0
908.3,485813,0
910.0,488196,0
909.2,488196,0
905.4,489795,0
907.1,490697,0
909.9,491496,0
909.4,492573,0
909.9,493573,0
909.1,493573,0
909.9,495581,0
909.9,495581,0
909.2,498113,0
910.0,498113,0
909.0,499191,0
909.2,500175,0
907.7,501185,0
906.9,504139,0
913.6,504139,0
907.7,505122,0
911.4,505122,0
910.0,507504,0
911.5,507504,0
909.7,509655,0
905.5,509655,0
910.2,511572,0
909.1,511572,0
910.0,513628,0
907.7,513628,0
909.9,515628,0
907.6,515628,0
909.2,517959,0
912.3,517959,0
908.6,520009,0
912.1,520009,0
916.7,520963,0
905.5,522010,0
910.2,523048,0
907.4,524007,0
909.9,525042,0
907.5,526009,0
909.0,527290,0
907.0,528342,0
907.9,529546,0
909.2,529546,0
909.9,531452,0
909.1,532526,0
908.1,533460,0
909.9,533460,0
912.4,535482,0
911.9,535482,0
912.2,537712,0
912.4,537712,0
912.3,538798,0
912.7,539762,0
908.2,541764,0
907.6,541764,0
909.8,543763,0
909.9,543763,0
910.1,545765,0
910.0,545765,0
907.6,547043,0
909.2,547043,0
910.8,549137,0
907.9,550094,0
908.6,551042,0
909.7,551042,0
905.8,553306,0
907.5,553306,0
910.0,555330,0
912.4,555330,0
907.0,557710,0
909.4,557710,0
909.2,559322,0
910.0,559322,0
909.9,561378,0
910.2,561378,0
905.5,563268,0
910.7,563268,0
908.5,565279,0
910.7,565279,0
909.5,567622,0
907.7,567622,0
907.2,569211,0
908.5,569211,0
909.5,571241,0
907.7,571241,0
905.5,572982,0
907.8,572982,0
910.7,575151,0
909.9,575151,0
910.3,577173,0
910.0,577936,0
910.7,579176,0
908.0,579176,0
905.8,581244,0
907.7,581244,0
909.5,583023,0
910.2,583023,0
911.9,585226,0
910.1,585226,0
910.0,587586,0
910.0,587586,0
912.2,588676,0
911.4,589643,0
911.5,590685,0
909.9,591644,0
912.2,592678,0
904.7,593639,0
905.9,594680,0
909.2,595638,0
907.6,597404,0
909.9,597404,0
908.7,598839,0
910.3,598839,0
907.6,600935,0
912.3,600935,0
907.6,603115,0
910.0,603115,0
910.0,605081,0
910.7,605081,0
910.7,607397,0
910.0,607397,0
910.7,608952,0
909.0,608952,0
909.9,610979,0
910.2,610979,0
905.5,612979,0
910.2,612979,0
914.5,614976,0
910.2,614976,0
909.8,616990,0
910.7,616990,0
905.7,618384,0
911.7,619465,0
910.5,620471,0
910.0,621440,0
907.7,622484,0
914.4,622484,0
909.9,624493,0
912.6,624493,0
909.9,626777,0
910.7,627615,0
910.0,628781,0
910.0,628781,0
910.0,630714,0
910.0,630714,0
910.0,632753,0
911.4,632753,0
915.0,634791,0
911.2,634791,0
910.0,636868,0
914.4,636868,0
911.5,638473,0
913.8,638473,0
914.4,640885,0
908.3,642037,0
910.0,643195,0
910.2,644472,0
912.2,644472,0
910.7,646509,0
913.2,646509,0
910.0,647978,0
909.9,647978,0
909.2,650092,0
909.9,651028,0
910.0,652066,0
909.7,653062,0
912.4,653980,0
909.2,655057,0
913.7,656071,0
911.9,656071,0
909.9,658361,0
910.5,658361,0
910.1,660792,0
910.3,660792,0
910.0,662541,0
910.6,662541,0
910.0,664490,0
910.1,664490,0
911.0,666531,0
910.0,666531,0
914.3,668564,0
910.6,668564,0
911.2,670652,0
912.3,670652,0
910.0,672464,0
909.9,672464,0
910.2,674536,0
909.3,675014,0
909.2,676251,0
908.4,676251,0
907.7,678464,0
909.2,678749,0
909.9,679870,0
909.2,679870,0
912.2,681824,0
911.3,682789,0
909.5,683822,0
910.0,683822,0
910.7,685822,0
910.2,686786,0
909.2,688072,0
909.9,688393,0
909.0,690459,0
910.1,690459,0
909.9,692399,0
912.1,692399,0
905.5,694388,0
912.8,695409,0
911.1,696382,0
908.5,696382,0
910.2,697847,0
910.1,698848,0
910.0,699922,0
905.8,699922,0
909.9,701924,0
909.9,701924,0
913.4,703941,0
909.8,703941,0
910.2,706070,0
909.9,706070,0
909.9,708632,0
910.0,708632,0
910.0,710607,0
912.4,710607,0
910.0,711631,0
907.7,712575,0
913.7,714121,0
907.6,714121,0
910.0,716119,0
911.5,716119,0
910.0,718275,0
912.4,718618,0
909.9,719678,0
914.8,719678,0
909.9,721686,0
909.5,721686,0
911.4,724061,0
910.1,724061,0
905.1,726058,0
910.7,726058,0
909.5,727861,0
909.5,728098,0
904.8,730066,0
909.7,730066,0
910.1,732038,0
910.0,732038,0
912.2,734016,0
909.2,734016,0
909.9,736047,0
909.0,737288,0
907.6,737788,0
910.6,737788,0
907.5,739986,0
909.9,739986,0
908.5,742046,0
909.9,742046,0
909.9,744064,0
909.1,744064,0
906.7,746061,0
903.2,746061,0
909.3,748484,0
906.2,748484,0
909.9,749581,0
909.0,749581,0
909.4,751576,0
910.2,752501,0
907.7,753573,0
910.6,754497,0
907.6,755601,0
910.0,756491,0
911.6,758190,0
909.8,758190,0
910.2,759802,0
907.9,759802,0
910.0,761779,0
908.0,761779,0
913.6,763781,0
911.5,763781,0
909.9,765763,0
909.2,765763,0
909.8,768200,0
910.0,768200,0
910.0,769347,0
909.7,769347,0
909.9,771505,0
911.0,772425,0
910.9,773495,0
907.7,774418,0
909.9,775498,0
912.2,776436,0
907.0,778064,0
910.2,778064,0
912.4,779148,0
907.3,781148,0
908.6,781148,0
910.0,783192,0
909.1,784138,0
906.7,785429,0
909.8,785429,0
907.0,787946,0
910.0,787946,0
910.7,789577,0
910.0,789577,0
909.9,791750,0
905.5,791750,0
911.8,793679,0
907.9,793679,0
908.4,795725,0
909.2,795725,0
908.3,798522,0
909.2,798522,0
911.0,799557,0
909.1,799557,0
909.0,801556,0
906.6,801556,0
908.4,803557,0
908.1,803557,0
907.2,805634,0
907.6,805634,0
909.2,807924,0
908.2,807924,0
908.9,809017,0
904.6,809995,0
909.7,811136,0
910.2,811136,0
909.0,813256,0
908.2,814154,0
909.7,815585,0
909.9,815585,0
910.7,817599,0
907.9,817909,0
911.2,819398,0
908.2,819398,0
911.8,821423,0
909.6,821423,0
909.7,823519,0
905.0,823519,0
909.9,825353,0
909.9,825353,0
907.4,827875,0
906.0,827875,0
909.8,828956,0
909.8,829944,0
907.7,830949,0
910.4,831875,0
911.7,832952,0
907.7,832952,0
905.5,834966,0
905.2,835925,0
907.7,837333,0
909.9,837333,0
909.2,839380,0
906.8,839380,0
909.2,841382,0
909.9,841382,0
908.9,843202,0
910.1,843202,0
910.7,844688,0
909.6,844688,0
908.5,847836,0
909.2,847836,0
909.8,849160,0
910.7,849160,0
907.0,851227,0
907.7,851227,0
909.2,853124,0
909.7,853124,0
909.2,855107,0
907.9,855107,0
914.3,857356,0
906.7,857545,0
908.3,859135,0
909.9,859611,0
907.4,860632,0
909.6,860632,0
905.5,862978,0
908.8,862978,0
906.2,864995,0
908.1,864995,0
909.7,866998,0
908.8,866998,0
909.0,868506,0
908.9,868506,0
907.1,870594,0
906.6,870594,0
907.8,872606,0
906.5,872606,0
909.8,874585,0
907.3,874585,0
907.5,876508,0
908.4,876508,0
909.7,879033,0
909.6,879033,0
909.1,880750,0
910.9,880750,0
907.2,882912,0
908.7,882912,0
908.1,884912,0
906.8,884912,0
907.7,887308,0
908.3,887308,0
909.2,888869,0
905.9,888869,0
906.7,890738,0
906.9,891824,0
907.7,892902,0
906.2,892902,0
909.2,894909,0
908.4,894909,0
904.2,896859,0
909.6,897482,0
905.0,898823,0
906.9,898823,0
909.3,900981,0
909.9,900981,0
909.2,903068,0
907.5,903068,0
908.2,904795,0
908.8,904795,0
902.9,906865,0
905.0,906865,0
907.3,908194,0
906.7,908194,0
911.8,910284,0
909.9,910284,0
903.7,912285,0
909.9,912285,0
908.4,914276,0
909.7,914276,0
907.9,916280,0
912.4,916280,0
912.2,918527,0
908.7,918527,0
909.4,920475,0
907.5,922426,0
907.4,922426,0
907.7,924492,0
909.1,924492,0
909.0,926625,0
908.5,926625,0
906.6,928380,0
907.6,928380,0
909.6,930645,0
909.9,930645,0
905.4,932563,0
909.9,932563,0
906.7,934573,0
907.2,934573,0
904.5,936584,0
902.4,937782,0
907.3,938060,0
908.9,938060,0
909.7,940164,0
906.2,940164,0
909.0,942316,0
906.1,942316,0
899.6,944468,0
902.6,944468,0
909.7,946511,0
907.2,946511,0
907.2,948435,0
909.0,948435,0
909.9,950650,0
908.1,950650,0
907.7,951780,0
905.2,952686,0
907.0,954508,0
906.7,954508,0
907.1,955603,0
904.9,956517,0
908.8,957602,0
906.8,958812,0
907.1,959906,0
909.9,960900,0
907.1,961902,0
907.9,962884,0
907.0,963900,0
906.4,964881,0
904.1,965939,0
907.9,967038,0
907.4,968538,0
906.0,968538,0
909.9,970510,0
904.9,970510,0
905.1,972393,0
909.2,972393,0
907.7,974414,0
906.1,974414,0
909.3,976221,0
907.4,976221,0
905.9,978414,0
907.6,978893,0
908.7,979969,0
909.5,979969,0
906.2,981950,0
909.7,981950,0
907.2,983865,0
907.7,983865,0
909.0,985930,0
907.9,985930,0
906.9,988203,0
908.7,988203,0
904.4,990204,0
907.6,990204,0
904.4,992246,0
904.2,992246,0
903.4,994089,0
904.3,994089,0
909.8,996082,0
909.8,996082,0
908.0,998317,0
909.0,998802,0
907.7,1000108,0
909.8,1000696,0
908.5,1002236,0
905.9,1003247,1000
908.7,1004163,1000
909.8,1004163,1000
909.6,1006032,1000
907.4,1006032,1000
906.5,1008278,1000
906.9,1008278,1000
911.3,1009315,1000
908.5,1010292,1000
906.3,1011317,1000
903.8,1011317,1000
907.6,1014322,1000
903.0,1014322,1000
905.3,1016255,1000
907.5,1016255,1000
903.6,1017723,1000
904.6,1017723,1000
907.4,1019766,1000
907.0,1019766,1000
905.3,1021765,1000
908.3,1021765,1000
906.7,1023943,1000
907.4,1025016,1000
908.9,1025692,1000
906.0,1025692,1000
902.5,1028228,1000
909.2,1028228,1000
907.1,1029321,1000
909.9,1030281,1000
905.7,1031549,1000
910.0,1031549,1000
907.5,1033814,1000
909.4,1033814,1000
910.0,1034887,1000
907.5,1035879,1000
906.9,1037796,1000
905.7,1037796,1000
