ToyCar
id,AUC,pAUC
01,0.9283982683982684,0.8053087263613579
02,0.8817250673854446,0.824485742658533
03,0.6760539083557952,0.5801390268123139
04,0.887245283018868,0.7949780110653992
Average,0.843355631789594,0.7512278767244011

