ToyCar
id,AUC,pAUC
01,0.9066341991341992,0.7873661426293005
02,0.9206145552560647,0.8293091218612569
03,0.7237843665768193,0.5901830046815151
04,0.9529703504043127,0.849624060150376
Average,0.876000867842849,0.7641205823306121

