ToyCar
id,AUC,pAUC
01,0.8771753246753246,0.7072226019594441
02,0.8997951482479785,0.7837423748049368
03,0.703590296495957,0.5552276918711874
04,0.9174986522911052,0.775627748616825
Average,0.8495148554275913,0.7054551043130983

